text,label
Hello!,greeting
Hi,greeting
Hey there,greeting
Hello!,greeting
Hi,greeting
Hey there,greeting
Good morning,greeting
Good evening,greeting
How are you,greeting
Namaste,greeting
नमस्ते,greeting
Vanakkam,greeting
Sat Sri Akal,greeting
Salam,greeting
What's up,greeting
Hiiiii,greeting
Greetings,greeting
Sup?,greeting
Yo!,greeting
Bonjour,greeting
Any updates?,greeting
Hello bot,greeting
Hola,greeting
Hi wellness assistant,greeting
Good to see you,greeting
Hi friend,greeting
Hey wellness coach,greeting
Ciao,greeting
Nice to meet you,greeting
Ready to chat,greeting
Hi how can you help?,greeting
Hey! Wellness bot,greeting
Shubh prabhat,greeting
नमस्कार,greeting
Hi there,greeting
Alo,greeting
Greetings to you,greeting
Hey wellness,greeting
I have a fever,symptom
My head hurts,symptom
I feel dizzy,symptom
I'm coughing,symptom
My throat is sore,symptom
I'm sneezing a lot,symptom
I am tired all day,symptom
मुझे सिरदर्द है,symptom
मैं थक गया हूँ,symptom
Mujhe bukhar hai,symptom
Mujhe khansi ho rahi hai,symptom
I have stomach pain,symptom
खांसी आ रही है,symptom
My vision is blurry,symptom
Pain in my back,symptom
I feel stressed,symptom
I'm not sleeping well,symptom
My arm hurts,symptom
My skin has a rash,symptom
I'm sweating,symptom
My legs are shaking,symptom
Ache in my shoulder,symptom
I can't smell anything,symptom
Shortness of breath,symptom
मैं अच्छा महसूस नहीं कर रहा हूँ,symptom
I have chills,symptom
Sneezing constantly,symptom
Loss of appetite,symptom
My body hurts,symptom
Feeling weak,symptom
High temperature,symptom
Shivering all night,symptom
I have a cold,symptom
Jaw pain,symptom
Difficulty swallowing,symptom
What to do for burns,first_aid
Stop bleeding,first_aid
Choking help,first_aid
First aid for fever,first_aid
How to treat a cut,first_aid
Sprain treatment tips,first_aid
Help for sunburns,first_aid
बर्न पर क्या करें?,first_aid
खून बहना बंद कैसे करें?,first_aid
Choking kya kare?,first_aid
Help for insect bite,first_aid
What is the remedy for nosebleed,first_aid
Band-aid use tips,first_aid
How to clean a wound,first_aid
Remedy for scalds,first_aid
How to use ice pack,first_aid
RICE method for injury,first_aid
मुझे चोट लग गई है,first_aid
Pain relief for sprains,first_aid
How to wrap a sprained ankle,first_aid
Treating a burn quickly,first_aid
What to do if I faint,first_aid
Poisoning emergency help,first_aid
पुराना घाव है क्या करूं?,first_aid
Swelling after injury,first_aid
How to deal with bruises,first_aid
Antiseptic ointment use,first_aid
Cleaning a minor wound,first_aid
Fever first aid instructions,first_aid
Ice pack for swelling,first_aid
I need first aid advice,first_aid
Immediate action for minor cut,first_aid
How to help someone who drowned,first_aid
Give me some diet advice,wellness_tip
How to stay fit?,wellness_tip
Tips for stress reduction?,wellness_tip
Daily exercise suggestions,wellness_tip
Foods to avoid for health,wellness_tip
Balanced diet tips,wellness_tip
What is a good sleep routine?,wellness_tip
क्या स्वास्थ्य के लिए योग अच्छा है?,wellness_tip
Healthy habits for adults,wellness_tip
Ways to drink more water,wellness_tip
Meditation tips,wellness_tip
Wellness tips for teens,wellness_tip
Stress management activities,wellness_tip
How to maintain weight,wellness_tip
Which vitamins are important,wellness_tip
Skincare advice,wellness_tip
Swasth rehne ke upay,wellness_tip
Overcoming negative thoughts,wellness_tip
Exercises for flexibility,wellness_tip
Boost immunity advice,wellness_tip
क्या चाय स्वास्थ्य के लिए ठीक है?,wellness_tip
Healthy snacks ideas,wellness_tip
How to prevent injury,wellness_tip
Morning routine for energy,wellness_tip
Quick fitness tips,wellness_tip
How to improve posture,wellness_tip
Easy stress busters,wellness_tip
Yoga or gym better?,wellness_tip
Mindfulness practices,wellness_tip
Suggest a wellness tip,wellness_tip
Simple ways to relax,wellness_tip
Power nap advantages,wellness_tip
Bye,goodbye
Goodbye,goodbye
See you later,goodbye
Take care,goodbye
Catch you soon,goodbye
Shubhratri,goodbye
अलविदा,goodbye
Nice talking to you,goodbye
Farewell,goodbye
Signing off,goodbye
I'm going now,goodbye
Have a nice day,goodbye
Talk to you next time,goodbye
See you tomorrow,goodbye
All the best,goodbye
See you soon,goodbye
Thanks and bye,goodbye
